Date,Open,High,Low,Close,Adj Close,Volume
2023-04-11,24.750000,24.750000,24.400000,24.466000,24.169973,42600
2023-04-12,24.870001,24.870001,24.320000,24.330000,24.035620,18500
2023-04-13,24.250000,25.080000,24.250000,25.056999,24.753824,20400
2023-04-14,25.200001,25.209999,24.680000,25.070000,24.766665,15200
2023-04-17,25.010000,25.090000,24.730000,24.955999,24.654045,11800
2023-04-18,25.040001,25.063000,24.809999,24.892000,24.590820,5200
2023-04-19,24.750000,25.020000,24.750000,24.910000,24.608603,3400
2023-04-20,24.855000,24.870001,24.750000,24.799999,24.499931,3200
2023-04-21,24.830000,24.972000,24.795000,24.900000,24.598722,2600
2023-04-24,25.065001,25.065001,24.799000,24.840000,24.539448,2500
2023-04-25,24.615000,24.615000,24.290001,24.290001,23.996105,3700
2023-04-26,24.840000,25.080000,24.709999,24.760000,24.460417,10400
2023-04-27,25.750000,26.299999,25.670000,26.150000,25.833597,10900
2023-04-28,26.160000,26.160000,25.875000,26.080000,25.764446,8600
2023-05-01,25.940001,26.040001,25.900000,25.976999,25.662691,4000
2023-05-02,26.020000,26.035000,25.670000,25.799999,25.487833,5600
2023-05-03,26.030001,26.030001,25.709999,25.750000,25.438438,14500
2023-05-04,25.511000,25.660000,25.511000,25.620001,25.310013,8700
2023-05-05,25.790001,26.080000,25.770000,26.002001,25.687389,10800
2023-05-08,25.882000,26.129999,25.882000,26.129999,25.813839,3300
2023-05-09,26.156000,26.156000,26.030001,26.030001,25.715052,1300
2023-05-10,26.309999,26.650000,26.247000,26.540001,26.218880,5800
2023-05-11,26.760000,27.080000,26.600000,26.920000,26.594282,12000
2023-05-12,26.900000,26.950001,26.570000,26.750000,26.426338,9800
2023-05-15,26.910000,26.910000,26.680000,26.860001,26.535009,3300
2023-05-16,26.900000,27.280001,26.900000,27.129999,26.801741,12400
2023-05-17,27.309999,27.530001,27.219999,27.497999,27.165287,9100
2023-05-18,27.629999,27.969999,27.620001,27.969999,27.631577,20400
2023-05-19,27.900000,27.920000,27.760000,27.841999,27.505125,19500
2023-05-22,27.879999,28.100000,27.879999,27.930000,27.592062,10000
2023-05-23,27.879999,27.930000,27.629999,27.629999,27.295691,14400
2023-05-24,27.620001,27.700001,27.514999,27.639999,27.305569,7200
2023-05-25,27.889999,28.040001,27.719999,27.980000,27.641457,5200
2023-05-26,27.950001,28.760000,27.950001,28.670000,28.323107,8500
2023-05-30,29.209999,29.209999,28.670000,28.879999,28.530565,16600
2023-05-31,28.850000,28.920000,28.636999,28.722000,28.374477,6000
2023-06-01,28.840000,29.219999,28.840000,29.153000,28.800262,3400
2023-06-02,29.500000,29.610001,29.264999,29.400000,29.044275,14900
2023-06-05,29.559999,29.790001,29.360001,29.379999,29.024517,7900
2023-06-06,29.610001,29.610001,29.441000,29.500000,29.143064,2900
2023-06-07,29.680000,29.730000,28.610001,28.610001,28.263834,9300
2023-06-08,28.632999,29.040001,28.629999,28.885000,28.535507,4700
2023-06-09,28.930000,29.089001,28.860001,28.940001,28.589842,10400
2023-06-12,29.035999,29.510000,29.035999,29.510000,29.152945,9000
2023-06-13,29.549999,29.600000,29.412001,29.461000,29.104538,6100
2023-06-14,29.520000,29.666000,29.180000,29.650000,29.291250,6300
2023-06-15,29.770000,30.180000,29.770000,30.180000,29.814837,2300
2023-06-16,30.190001,30.190001,29.850000,29.858000,29.496733,11600
2023-06-20,29.600000,29.860001,29.559999,29.799999,29.439436,4700
2023-06-21,29.600000,29.760000,29.400000,29.500000,29.143064,5900
2023-06-22,29.280001,30.180000,29.280001,30.180000,29.814837,7900
2023-06-23,29.775000,30.070000,29.775000,30.070000,29.706169,3600
2023-06-26,30.045000,30.139999,29.370001,29.430000,29.073914,5600
2023-06-27,29.719999,29.950001,29.719999,29.780001,29.419680,4900
2023-06-28,29.900000,30.160000,29.840000,29.889999,29.528345,5700
2023-06-29,29.934999,29.959999,29.629999,29.690001,29.330767,8200
2023-06-30,29.889999,30.290001,29.889999,30.250000,29.883991,3200
2023-07-03,30.309999,30.309999,30.010000,30.150000,29.785200,3300
2023-07-05,30.190001,30.487000,30.190001,30.400000,30.032175,5800
2023-07-06,30.150000,30.260000,30.150000,30.260000,29.893871,800
2023-07-07,30.240000,30.440001,30.197001,30.197001,29.831633,4300
2023-07-10,30.000000,30.000000,29.500000,29.690001,29.330767,4200
2023-07-11,29.750000,29.959999,29.719999,29.930000,29.567862,5700
2023-07-12,30.500000,30.549999,30.340000,30.450001,30.081572,2600
2023-07-13,30.780001,31.200001,30.780001,31.200001,30.822496,3700
2023-07-14,31.326000,31.469999,31.070000,31.100000,30.723707,3900
2023-07-17,31.139999,31.299999,31.139999,31.190001,30.812618,4400
2023-07-18,31.000000,31.549999,30.990000,31.360001,30.980560,3800
2023-07-19,31.450001,31.670000,31.360001,31.540001,31.158384,3700
2023-07-20,31.469999,31.480000,30.615999,30.615999,30.245562,3400
2023-07-21,30.830000,30.830000,30.370001,30.370001,30.002539,2500
2023-07-24,30.730000,30.730000,30.430000,30.430000,30.061813,2300
2023-07-25,30.600000,30.725000,30.600000,30.700001,30.328547,2000
2023-07-26,30.879999,30.879999,30.600000,30.760000,30.387819,4100
2023-07-27,31.490000,31.527000,30.980000,31.010000,30.634794,1300
2023-07-28,31.347000,31.870001,31.347000,31.805000,31.420177,4800
2023-07-31,31.940001,31.940001,31.570000,31.629999,31.247292,1800
2023-08-01,31.650000,31.650000,31.600000,31.600000,31.217657,1100
2023-08-02,31.170000,31.170000,30.879999,30.879999,30.506369,4600
2023-08-03,30.799999,31.030001,30.700001,30.855000,30.481670,3400
2023-08-04,31.445000,31.548000,30.910000,30.910000,30.536005,3900
2023-08-07,31.049999,31.280001,31.000000,31.280001,30.901529,3000
2023-08-08,31.153999,31.153999,30.987000,31.010000,30.634794,2500
2023-08-09,30.549999,30.930000,30.540001,30.660000,30.289030,2300
2023-08-10,32.020000,32.020000,30.716999,30.716999,30.345339,2600
2023-08-11,30.480000,30.600000,30.350000,30.514999,30.145782,3100
2023-08-14,30.770000,30.879999,30.733000,30.879999,30.506369,700
2023-08-15,30.555000,30.555000,30.552999,30.552999,30.183325,800
2023-08-16,30.549999,30.549999,30.090000,30.090000,29.725927,3400
2023-08-17,29.889999,30.260000,29.879999,29.879999,29.518467,6300
2023-08-18,29.049999,29.570000,29.049999,29.570000,29.212219,3400
2023-08-21,29.799999,30.000000,29.629999,30.000000,29.637016,2100
2023-08-22,30.250000,30.250000,30.000000,30.000000,29.637016,3400
2023-08-23,30.590000,30.660000,30.530001,30.530001,30.160603,1300
2023-08-24,30.643999,30.643999,29.900000,29.900000,29.538225,2200
2023-08-25,29.730000,30.059999,29.500000,30.030001,29.666655,4500
2023-08-28,30.209999,30.350000,30.080000,30.219999,29.854353,3400
2023-08-29,30.750000,30.990000,30.750000,30.875000,30.501429,2500
2023-08-30,31.000000,31.030001,30.934999,30.969999,30.595278,2800
2023-08-31,31.283001,31.320000,31.243999,31.243999,30.865963,800
2023-09-01,31.129999,31.261000,31.129999,31.160000,30.782980,2600
2023-09-05,31.219999,31.379999,31.139999,31.378000,30.998343,1900
2023-09-06,31.028999,31.028999,30.930000,30.930000,30.555763,1000
2023-09-07,30.540001,30.860001,30.540001,30.860001,30.486612,500
2023-09-08,31.010000,31.240000,31.010000,31.040001,30.664433,2000
2023-09-11,31.430000,31.612000,31.430000,31.549999,31.168261,1400
2023-09-12,31.219999,31.219999,31.090000,31.090000,30.713827,1100
2023-09-13,31.500000,31.500000,31.059999,31.360001,30.980560,9700
2023-09-14,31.690001,31.799999,31.690001,31.715000,31.331264,2700
