"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1,934.62","1,906.46","1,941.34","1,890.04","3.11B","1.01%"
"11/01/2025","1,915.26","1,994.06","2,007.07","1,785.94","7.89B","-2.44%"
"10/01/2025","1,963.14","1,910.50","1,979.21","1,838.65","10.91B","2.36%"
"09/01/2025","1,917.97","1,830.72","1,955.78","1,826.10","8.47B","3.12%"
"08/01/2025","1,860.03","1,743.46","1,884.29","1,724.39","7.39B","3.35%"
"07/01/2025","1,799.72","1,736.79","1,838.38","1,731.58","9.08B","2.62%"
"06/01/2025","1,753.81","1,709.78","1,771.50","1,666.42","9.50B","2.12%"
"05/01/2025","1,717.38","1,586.23","1,747.20","1,562.99","9.12B","9.38%"
"04/01/2025","1,570.08","1,569.79","1,635.62","1,376.61","12.64B","-0.34%"
"03/01/2025","1,575.40","1,742.90","1,749.14","1,528.57","11.35B","-9.02%"
"02/01/2025","1,731.52","1,871.86","1,915.48","1,692.34","7.52B","-9.42%"
"01/01/2025","1,911.57","1,830.94","1,941.66","1,785.42","6.77B","4.39%"
"12/01/2024","1,831.16","1,803.75","1,964.52","1,798.77","7.10B","2.33%"
"11/01/2024","1,789.44","1,622.68","1,790.34","1,603.70","7.29B","13.24%"
"10/01/2024","1,580.24","1,600.90","1,628.71","1,544.32","7.51B","-1.57%"
"09/01/2024","1,605.41","1,496.08","1,624.59","1,457.25","7.16B","7.02%"
"08/01/2024","1,500.16","1,522.26","1,525.29","1,328.23","8.20B","-1.08%"
"07/01/2024","1,516.58","1,496.80","1,575.50","1,451.84","9.53B","1.64%"
"06/01/2024","1,492.14","1,425.94","1,516.16","1,411.67","6.79B","4.82%"
"05/01/2024","1,423.51","1,431.56","1,470.39","1,402.29","7.46B","0.19%"
"04/01/2024","1,420.81","1,486.93","1,490.90","1,376.29","8.13B","-4.35%"
"03/01/2024","1,485.49","1,482.59","1,493.28","1,431.14","7.29B","0.01%"
"02/01/2024","1,485.31","1,374.11","1,487.86","1,371.15","7.99B","8.60%"
"01/01/2024","1,367.70","1,414.09","1,414.89","1,360.78","8.11B","-3.55%"
"12/01/2023","1,418.09","1,331.45","1,445.23","1,329.45","8.10B","6.07%"
"11/01/2023","1,336.91","1,213.93","1,358.89","1,206.17","8.74B","10.76%"
"10/01/2023","1,207.03","1,257.68","1,288.59","1,162.19","8.98B","-4.51%"
"09/01/2023","1,264.00","1,352.39","1,383.65","1,232.83","7.83B","-6.01%"
"08/01/2023","1,344.81","1,358.91","1,376.93","1,270.54","8.29B","-1.30%"
"07/01/2023","1,362.52","1,344.73","1,391.32","1,316.05","8.08B","2.40%"
"06/01/2023","1,330.54","1,187.38","1,334.14","1,179.44","10.36B","11.99%"
"05/01/2023","1,188.04","1,150.07","1,208.27","1,124.22","9.59B","3.09%"
