"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","449.29","453.53","462.92","446.11","3.47B","-1.74%"
"11/01/2025","457.25","432.20","459.82","414.23","6.48B","6.34%"
"10/01/2025","429.97","417.28","441.73","407.69","6.59B","1.74%"
"09/01/2025","422.60","394.38","439.56","392.71","6.74B","5.53%"
"08/01/2025","400.45","382.69","404.52","379.09","5.57B","3.57%"
"07/01/2025","386.65","376.68","391.31","367.87","6.30B","2.30%"
"06/01/2025","377.94","348.76","380.97","348.26","5.47B","7.18%"
"05/01/2025","352.61","329.80","355.90","323.02","5.42B","9.62%"
"04/01/2025","321.68","317.97","325.37","281.51","6.15B","0.60%"
"03/01/2025","319.75","350.89","353.83","311.43","6.09B","-8.35%"
"02/01/2025","348.89","366.87","378.37","340.77","4.81B","-6.30%"
"01/01/2025","372.33","343.48","376.12","336.95","4.45B","8.98%"
"12/01/2024","341.66","330.71","360.63","330.33","4.59B","3.49%"
"11/01/2024","330.15","319.89","336.91","315.66","4.37B","3.09%"
"10/01/2024","320.25","317.02","332.52","310.82","4.13B","1.80%"
"09/01/2024","314.60","299.40","314.91","282.22","4.48B","4.54%"
"08/01/2024","300.95","304.36","307.69","277.46","4.41B","1.23%"
"07/01/2024","297.29","311.29","322.63","287.13","4.68B","-4.16%"
"06/01/2024","310.19","297.10","316.15","294.77","4.06B","4.71%"
"05/01/2024","296.23","278.33","299.77","278.10","4.75B","6.57%"
"04/01/2024","277.98","283.93","294.69","267.45","5.42B","-2.22%"
"03/01/2024","284.29","272.61","287.99","266.19","4.87B","4.33%"
"02/01/2024","272.50","260.52","277.87","259.40","5.08B","5.66%"
"01/01/2024","257.91","244.56","270.86","241.51","4.91B","4.84%"
"12/01/2023","246.00","234.18","248.54","229.15","4.86B","4.78%"
"11/01/2023","234.77","217.92","242.89","217.82","4.55B","7.81%"
"10/01/2023","217.76","222.21","235.17","211.26","5.41B","-2.00%"
"09/01/2023","222.21","229.72","232.72","217.97","4.66B","-3.27%"
"08/01/2023","229.72","230.64","231.56","216.51","4.98B","-0.40%"
"07/01/2023","230.64","216.08","231.93","212.27","6.27B","6.74%"
"06/01/2023","216.08","210.66","220.07","210.31","5.68B","2.57%"
"05/01/2023","210.66","198.35","212.64","191.17","6.30B","6.21%"
"04/01/2023","198.35","191.53","198.37","186.69","4.66B","3.56%"
"03/01/2023","191.53","173.53","191.67","168.18","6.61B","10.37%"
"02/01/2023","173.53","182.04","197.84","171.20","6.31B","-4.67%"
"01/01/2023","182.04","159.37","184.03","159.37","5.75B","14.22%"
"12/01/2022","159.37","172.94","174.97","155.05","6.46B","-7.85%"
"11/01/2022","172.94","161.86","172.94","149.17","7.14B","6.85%"
"10/01/2022","161.86","162.01","175.42","156.78","7.83B","-0.09%"
"09/01/2022","162.01","184.44","189.97","161.94","6.47B","-12.16%"
"08/01/2022","184.44","192.55","205.61","183.21","5.69B","-4.21%"
"07/01/2022","192.55","186.03","198.35","182.83","5.10B","3.50%"
"06/01/2022","186.03","201.56","206.03","179.80","4.94B","-7.70%"
"05/01/2022","201.56","198.03","212.03","185.28","6.05B","1.78%"
"04/01/2022","198.03","235.09","242.90","196.27","7.62B","-15.76%"
"03/01/2022","235.09","232.92","242.13","215.13","5.40B","0.93%"
"02/01/2022","232.92","250.41","264.87","217.29","5.70B","-6.98%"
"01/01/2022","250.41","267.48","270.69","233.23","5.78B","-6.38%"
"12/01/2021","267.48","260.90","273.65","255.62","5.30B","2.52%"
"11/01/2021","260.90","275.13","281.43","260.53","4.75B","-5.17%"
"10/01/2021","275.13","268.04","276.03","264.56","4.35B","2.65%"
"09/01/2021","268.04","286.95","289.48","268.00","3.76B","-6.59%"
"08/01/2021","286.95","273.30","287.57","269.18","3.20B","4.99%"
"07/01/2021","273.30","264.35","279.75","261.64","3.54B","3.39%"
"06/01/2021","264.35","257.37","266.75","253.94","3.79B","2.71%"
"05/01/2021","257.37","257.55","259.46","243.72","4.90B","-0.07%"
"04/01/2021","257.55","239.28","260.25","239.28","4.98B","7.64%"
"03/01/2021","239.28","232.08","244.97","229.66","6.63B","3.10%"
"02/01/2021","232.08","218.57","240.46","218.57","4.21B","6.18%"
"01/01/2021","218.57","221.92","229.27","211.93","4.88B","-1.51%"
"12/01/2020","221.92","215.31","224.21","215.21","4.16B","3.07%"
"11/01/2020","215.31","196.55","217.59","195.27","4.06B","9.54%"
"10/01/2020","196.55","195.49","205.67","192.81","4.19B","0.54%"
"09/01/2020","195.49","209.04","216.40","188.01","4.08B","-6.48%"
"08/01/2020","209.04","191.69","212.24","190.65","3.68B","9.05%"
"07/01/2020","191.69","179.88","195.12","179.88","4.40B","6.57%"
"06/01/2020","179.88","180.89","188.55","172.44","5.16B","-0.56%"
"05/01/2020","180.89","170.66","183.21","165.53","4.70B","5.99%"
"04/01/2020","170.66","150.35","172.09","142.07","5.11B","13.51%"
"03/01/2020","150.35","171.25","179.59","133.01","7.75B","-12.20%"
"02/01/2020","171.25","182.84","193.56","164.84","4.20B","-6.34%"
"01/01/2020","182.84","181.64","192.12","181.64","3.72B","0.66%"
"12/01/2019","181.64","178.24","183.88","174.35","3.25B","1.91%"
"11/01/2019","178.24","171.82","179.30","171.82","3.51B","3.74%"
"10/01/2019","171.82","167.26","173.23","161.54","3.82B","2.73%"
"09/01/2019","167.26","166.58","173.07","164.28","3.44B","0.41%"
"08/01/2019","166.58","169.18","171.69","160.52","3.64B","-1.54%"
"07/01/2019","169.18","164.23","173.42","164.23","3.57B","3.01%"
"06/01/2019","164.23","157.52","166.19","151.78","1.81B","4.26%"
"05/01/2019","157.52","167.49","168.22","157.38","","-5.95%"
"04/01/2019","167.49","157.68","172.27","157.68","","6.22%"
"03/01/2019","157.68","154.00","160.71","153.41","","2.39%"
"02/01/2019","154.00","152.75","155.28","149.71","","0.82%"
"01/01/2019","152.75","138.78","153.30","136.70","","10.07%"
"12/01/2018","138.78","149.86","151.94","130.82","","-7.39%"
"11/01/2018","149.86","150.88","153.29","140.81","","-0.68%"
"10/01/2018","150.88","160.55","161.70","141.58","","-6.02%"
"09/01/2018","160.55","153.99","162.31","151.24","","4.26%"
"08/01/2018","153.99","149.60","159.45","148.93","","2.93%"
"07/01/2018","149.60","148.12","151.71","144.13","","1.00%"
"06/01/2018","148.12","144.87","152.30","143.66","","2.24%"
"05/01/2018","144.87","148.24","149.06","140.34","","-2.27%"
"04/01/2018","148.24","151.65","155.18","148.12","","-2.25%"
"03/01/2018","151.65","153.36","158.77","146.62","","-1.12%"
"02/01/2018","153.36","165.00","169.66","150.79","","-7.05%"
"01/01/2018","165.00","166.07","167.08","158.81","","-0.64%"
"12/01/2017","166.07","157.01","168.25","154.55","","5.77%"
"11/01/2017","157.01","148.26","157.90","140.82","","5.90%"
"10/01/2017","148.26","162.37","164.96","146.81","","-8.69%"
"09/01/2017","162.37","156.85","163.51","148.32","","3.52%"
"08/01/2017","156.85","161.84","163.82","155.23","","-3.08%"
"07/01/2017","161.84","154.03","163.21","147.47","","5.07%"
"06/01/2017","154.03","158.76","162.38","153.31","","-2.98%"
"05/01/2017","158.76","160.33","160.76","153.26","","-0.98%"
"04/01/2017","160.33","167.68","169.45","160.14","","-4.38%"
"03/01/2017","167.68","169.77","172.76","166.60","","-1.23%"
"02/01/2017","169.77","170.43","173.08","164.89","","-0.39%"
"01/01/2017","170.43","176.61","180.24","167.53","","-3.50%"
"12/01/2016","176.61","163.39","178.01","161.52","","8.09%"
"11/01/2016","163.39","157.79","167.78","152.54","","3.55%"
"10/01/2016","157.79","170.58","171.67","155.40","","-7.50%"
"09/01/2016","170.58","172.21","175.66","167.52","","-0.95%"
"08/01/2016","172.21","182.67","183.26","171.13","","-5.73%"
"07/01/2016","182.67","182.64","185.43","178.42","","0.02%"
"06/01/2016","182.64","167.07","183.16","164.61","","9.32%"
"05/01/2016","167.07","167.13","169.35","161.27","","-0.04%"
"04/01/2016","167.13","172.55","173.42","163.46","","-3.14%"
"03/01/2016","172.55","162.38","173.87","162.38","","6.26%"
"02/01/2016","162.38","158.12","164.31","156.62","","2.69%"
"01/01/2016","158.12","149.91","158.12","142.43","","5.48%"
"12/01/2015","149.91","147.38","152.65","144.36","","1.72%"
"11/01/2015","147.38","149.37","150.01","142.49","","-1.33%"
"10/01/2015","149.37","141.19","150.55","138.17","","5.79%"
"09/01/2015","141.19","146.61","147.83","139.07","","-3.70%"
"08/01/2015","146.61","151.71","154.01","135.80","","-3.36%"
"07/01/2015","151.71","153.47","155.45","148.59","","-1.15%"
"06/01/2015","153.47","157.11","158.20","152.38","","-2.32%"
"05/01/2015","157.11","160.09","160.82","153.91","","-1.86%"
"04/01/2015","160.09","152.93","161.50","152.51","","4.68%"
"03/01/2015","152.93","158.95","159.56","151.27","","-3.79%"
"02/01/2015","158.95","149.13","160.51","148.99","","6.58%"
"01/01/2015","149.13","152.55","155.95","147.62","","-2.24%"
"12/01/2014","152.55","162.56","162.83","146.36","","-6.19%"
"11/01/2014","162.61","160.84","165.24","157.54","","1.11%"
"10/01/2014","160.83","161.11","162.48","150.93","","-0.19%"
"09/01/2014","161.13","160.56","162.33","156.45","","0.35%"
"08/01/2014","160.57","162.29","162.65","155.98","","-1.07%"
"07/01/2014","162.31","158.28","172.46","157.76","","2.57%"
"06/01/2014","158.25","160.39","160.80","156.54","","-1.27%"
"05/01/2014","160.29","155.04","161.89","154.72","","3.39%"
"04/01/2014","155.04","154.39","158.70","150.87","","0.42%"
"03/01/2014","154.39","147.44","155.46","145.39","","4.67%"
"02/01/2014","147.50","149.05","150.75","143.28","","-1.04%"
"01/01/2014","149.05","155.36","155.71","144.66","","-4.16%"
"12/01/2013","155.52","156.04","156.04","150.02","","-0.34%"
"11/01/2013","156.05","160.22","162.58","154.68","","-2.63%"
"10/01/2013","160.27","149.31","162.05","146.71","","7.35%"
"09/01/2013","149.30","150.33","154.56","146.99","","-0.63%"
"08/01/2013","150.24","157.55","159.20","148.07","","-4.14%"
"07/01/2013","156.73","157.92","161.63","156.66","","-0.74%"
