"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","567.01","561.81","567.68","544.53","1.03B","0.69%"
"11/01/2025","563.10","529.22","565.40","526.47","2.57B","3.97%"
"10/01/2025","541.60","569.20","575.62","538.21","2.73B","-5.10%"
"09/01/2025","570.71","579.48","588.41","558.54","2.64B","-2.31%"
"08/01/2025","584.18","551.09","586.91","543.78","2.35B","5.58%"
"07/01/2025","553.28","556.30","582.32","552.66","2.62B","-0.51%"
"06/01/2025","556.09","545.78","559.45","541.12","2.35B","2.09%"
"05/01/2025","544.68","524.26","550.02","522.31","2.39B","2.80%"
"04/01/2025","529.86","539.75","548.37","462.45","3.45B","-2.24%"
"03/01/2025","541.98","561.64","564.76","529.01","2.69B","-2.90%"
"02/01/2025","558.18","553.75","572.58","547.47","2.42B","-0.15%"
"01/01/2025","559.03","532.38","564.55","523.00","1.96B","5.52%"
"12/01/2024","529.77","594.27","596.21","525.51","1.90B","-10.91%"
"11/01/2024","594.62","586.22","601.29","570.92","1.93B","1.45%"
"10/01/2024","586.14","607.68","618.33","586.14","1.58B","-3.55%"
"09/01/2024","607.70","586.60","616.48","558.75","1.57B","2.41%"
"08/01/2024","593.39","584.17","594.13","549.72","1.55B","2.22%"
"07/01/2024","580.51","557.26","585.97","544.34","1.86B","4.31%"
"06/01/2024","556.50","575.19","575.19","554.33","1.58B","-3.26%"
"05/01/2024","575.27","561.08","581.73","553.55","1.84B","3.07%"
"04/01/2024","558.16","587.21","590.07","551.32","1.87B","-4.61%"
"03/01/2024","585.16","550.36","586.93","550.20","1.96B","6.22%"
"02/01/2024","550.91","525.16","552.15","509.05","1.86B","6.27%"
"01/01/2024","518.41","536.20","539.47","513.57","1.63B","-3.93%"
"12/01/2023","539.62","517.60","544.65","508.18","1.69B","4.33%"
"11/01/2023","517.20","479.12","517.70","474.06","1.83B","8.06%"
"10/01/2023","478.64","492.85","500.97","468.05","1.78B","-3.22%"
"09/01/2023","494.54","524.96","527.65","487.56","1.48B","-5.05%"
"08/01/2023","520.84","535.81","539.35","503.88","1.54B","-3.46%"
"07/01/2023","539.48","521.75","540.39","499.45","1.48B","3.36%"
"06/01/2023","521.93","472.63","523.09","471.07","1.67B","10.81%"
"05/01/2023","471.02","508.40","510.20","469.18","1.70B","-7.11%"
"04/01/2023","507.06","509.04","516.27","492.97","1.39B","-0.17%"
"03/01/2023","507.92","516.72","532.11","469.45","1.90B","-1.34%"
"02/01/2023","514.81","531.81","541.10","496.84","1.54B","-3.49%"
"01/01/2023","533.40","489.63","533.45","484.64","1.50B","8.96%"
"12/01/2022","489.55","522.14","528.50","483.67","1.36B","-5.81%"
"11/01/2022","519.72","473.64","519.72","448.91","1.71B","11.50%"
"10/01/2022","466.12","433.78","471.58","420.72","1.69B","8.97%"
"09/01/2022","427.77","467.68","496.18","421.19","1.84B","-9.62%"
"08/01/2022","473.30","488.38","514.55","473.20","1.71B","-3.67%"
"07/01/2022","491.31","460.33","492.68","440.32","1.81B","6.08%"
"06/01/2022","463.16","539.11","552.14","456.75","1.99B","-14.08%"
"05/01/2022","539.06","534.85","556.02","500.77","2.10B","0.95%"
"04/01/2022","533.97","555.39","574.68","522.22","1.66B","-3.52%"
"03/01/2022","553.45","523.21","564.18","497.10","2.39B","5.82%"
"02/01/2022","523.00","532.95","548.06","498.48","1.78B","-1.43%"
"01/01/2022","530.58","569.80","580.07","508.53","1.74B","-6.86%"
"12/01/2021","569.63","536.45","572.53","524.83","1.60B","7.34%"
"11/01/2021","530.68","535.44","565.63","529.47","1.65B","-0.70%"
"10/01/2021","534.41","498.63","541.54","495.30","1.60B","7.61%"
"09/01/2021","496.64","536.00","539.28","492.40","1.59B","-7.43%"
"08/01/2021","536.52","529.55","543.44","517.32","1.44B","1.74%"
"07/01/2021","527.35","521.11","530.63","494.03","1.45B","2.00%"
"06/01/2021","517.02","552.90","556.10","505.43","1.82B","-5.54%"
"05/01/2021","547.32","525.26","560.11","525.17","1.77B","5.04%"
"04/01/2021","521.05","495.63","527.12","492.76","1.48B","5.32%"
"03/01/2021","494.71","466.89","503.56","453.12","2.13B","7.29%"
"02/01/2021","461.11","446.49","480.63","442.69","2.00B","3.66%"
"01/01/2021","444.85","460.10","489.58","440.58","2.05B","-2.38%"
"12/01/2020","455.71","452.15","456.39","438.27","1.50B","2.31%"
"11/01/2020","445.41","402.30","454.39","401.71","1.63B","12.23%"
"10/01/2020","396.87","401.50","420.95","386.98","1.59B","-0.78%"
"09/01/2020","400.01","395.16","420.79","383.66","1.79B","1.09%"
"08/01/2020","395.69","381.60","401.95","375.17","1.53B","4.19%"
"07/01/2020","379.77","354.98","393.80","350.84","1.82B","7.03%"
"06/01/2020","354.83","348.37","377.78","334.05","2.32B","1.85%"
"05/01/2020","348.38","320.68","350.82","303.97","1.87B","6.69%"
"04/01/2020","326.55","272.52","338.16","266.68","2.20B","15.29%"
"03/01/2020","283.23","333.03","355.56","240.45","3.36B","-14.35%"
"02/01/2020","330.67","363.21","384.16","320.55","2.00B","-8.65%"
"01/01/2020","361.99","387.77","388.65","360.81","2.00B","-6.18%"
"12/01/2019","385.85","374.40","386.71","366.37","1.66B","2.83%"
"11/01/2019","375.24","366.28","380.91","366.17","1.62B","2.88%"
"10/01/2019","364.73","365.72","370.45","345.54","1.86B","0.02%"
"09/01/2019","364.66","351.91","370.19","348.69","1.65B","2.93%"
"08/01/2019","354.28","364.79","370.56","341.96","1.80B","-3.08%"
"07/01/2019","365.54","368.37","373.40","359.02","1.63B","-0.44%"
"06/01/2019","367.14","331.59","367.25","330.41","1.01B","11.48%"
