"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","253.14","256.63","257.38","251.77","836.88M","-2.27%"
"11/01/2025","259.03","252.60","260.04","250.94","1.70B","1.70%"
"10/01/2025","254.70","260.17","265.69","251.33","1.87B","-2.14%"
"09/01/2025","260.27","257.39","261.46","253.78","1.74B","0.18%"
"08/01/2025","259.79","256.76","261.52","249.69","1.58B","2.26%"
"07/01/2025","254.04","256.79","265.68","253.72","1.64B","-1.25%"
"06/01/2025","257.26","258.82","264.04","251.31","1.55B","-1.25%"
"05/01/2025","260.52","258.72","262.49","251.35","1.62B","0.85%"
"04/01/2025","258.33","262.16","262.56","222.49","1.95B","-0.97%"
"03/01/2025","260.87","269.35","273.66","253.06","1.72B","-3.02%"
"02/01/2025","269.00","255.25","269.63","252.76","1.31B","3.31%"
"01/01/2025","260.37","255.91","264.01","245.67","1.48B","2.41%"
"12/01/2024","254.25","278.66","278.66","248.14","1.39B","-9.17%"
"11/01/2024","279.92","271.16","283.24","263.16","1.34B","3.65%"
"10/01/2024","270.07","281.45","281.66","268.41","1.33B","-3.71%"
"09/01/2024","280.48","271.21","284.60","271.00","1.45B","2.75%"
"08/01/2024","272.97","259.82","273.45","254.73","1.38B","5.97%"
"07/01/2024","257.59","240.70","260.64","237.85","1.37B","6.61%"
"06/01/2024","241.61","238.49","244.12","235.71","1.26B","1.57%"
"05/01/2024","237.88","224.56","243.07","224.14","1.45B","5.91%"
"04/01/2024","224.60","246.03","246.05","221.47","1.44B","-8.70%"
"03/01/2024","246.00","243.50","251.90","238.21","1.41B","0.61%"
"02/01/2024","244.52","238.39","245.81","232.40","1.59B","2.27%"
"01/01/2024","239.10","250.32","253.78","238.40","1.56B","-4.73%"
"12/01/2023","250.96","232.41","254.02","232.10","1.58B","7.80%"
"11/01/2023","232.81","207.84","232.93","206.25","1.51B","12.20%"
"10/01/2023","207.50","212.91","218.83","200.70","1.59B","-2.78%"
"09/01/2023","213.43","232.38","232.94","209.90","1.28B","-7.72%"
"08/01/2023","231.29","239.12","240.12","222.64","1.37B","-3.32%"
"07/01/2023","239.23","234.93","245.69","233.14","1.26B","1.41%"
"06/01/2023","235.90","225.59","236.97","223.50","1.47B","4.54%"
"05/01/2023","225.65","236.16","237.18","219.31","1.39B","-4.70%"
"04/01/2023","236.79","234.26","238.30","228.30","1.11B","0.71%"
"03/01/2023","235.11","238.10","244.35","216.42","1.72B","-1.94%"
"02/01/2023","239.77","253.97","265.32","238.32","1.22B","-6.07%"
"01/01/2023","255.26","234.59","255.52","230.29","1.37B","9.85%"
"12/01/2022","232.37","247.92","249.95","227.60","1.43B","-5.47%"
"11/01/2022","245.82","232.86","245.82","219.70","1.49B","6.76%"
"10/01/2022","230.25","229.39","235.80","207.86","1.66B","1.91%"
"09/01/2022","225.94","260.28","271.58","222.41","1.68B","-13.64%"
"08/01/2022","261.64","276.41","287.00","261.13","1.27B","-5.71%"
"07/01/2022","277.49","255.21","278.78","250.72","1.18B","8.49%"
"06/01/2022","255.77","276.98","277.55","240.64","1.79B","-7.48%"
"05/01/2022","276.44","292.85","293.10","258.86","1.52B","-5.13%"
"04/01/2022","291.38","303.31","318.72","291.06","1.06B","-3.65%"
"03/01/2022","302.42","283.25","308.29","279.86","1.38B","7.28%"
"02/01/2022","281.91","296.81","300.32","269.62","1.26B","-5.09%"
"01/01/2022","297.02","325.43","325.43","281.03","1.20B","-8.54%"
"12/01/2021","324.75","299.34","326.97","291.89","1.13B","9.74%"
"11/01/2021","295.94","299.27","307.07","294.64","1.08B","-0.97%"
"10/01/2021","298.83","279.68","302.44","274.82","1.02B","7.46%"
"09/01/2021","278.09","298.41","304.80","278.09","1.12B","-6.64%"
"08/01/2021","297.88","291.33","298.17","287.49","1.09B","2.70%"
"07/01/2021","290.04","277.26","293.47","276.25","1.12B","4.55%"
"06/01/2021","277.41","271.16","285.93","270.32","1.27B","2.75%"
"05/01/2021","269.98","267.44","270.92","256.17","1.17B","1.09%"
"04/01/2021","267.06","248.38","267.53","247.11","1.15B","8.12%"
"03/01/2021","247.00","235.05","250.55","223.24","1.52B","6.35%"
"02/01/2021","232.26","230.03","241.95","227.58","1.26B","1.43%"
"01/01/2021","228.98","228.39","234.61","215.81","1.36B","0.47%"
"12/01/2020","227.90","227.81","230.99","220.61","1.62B","0.92%"
"11/01/2020","225.82","213.85","241.70","212.57","1.76B","6.79%"
"10/01/2020","211.46","219.77","230.99","209.00","1.31B","-3.42%"
"09/01/2020","218.95","223.44","231.82","209.75","1.48B","-2.50%"
"08/01/2020","224.57","223.38","228.06","218.13","1.26B","-0.11%"
"07/01/2020","224.82","217.03","227.08","213.51","1.52B","3.90%"
"06/01/2020","216.39","214.21","234.35","206.84","2.27B","0.99%"
