"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","871.26","880.51","884.33","860.53","2.42B","-1.24%"
"11/01/2025","882.17","846.59","882.63","837.44","5.17B","3.94%"
"10/01/2025","848.70","871.01","893.22","845.08","5.47B","-2.57%"
"09/01/2025","871.10","891.03","893.54","862.79","5.47B","-1.82%"
"08/01/2025","887.23","880.31","922.90","878.20","5.09B","1.45%"
"07/01/2025","874.57","898.74","910.65","873.28","4.90B","-2.51%"
"06/01/2025","897.10","914.43","919.53","884.24","4.68B","-2.21%"
"05/01/2025","917.35","894.66","921.23","872.96","4.54B","1.66%"
"04/01/2025","902.34","893.10","910.93","829.05","5.32B","1.08%"
"03/01/2025","892.71","914.81","929.51","858.20","5.38B","-2.79%"
"02/01/2025","918.34","863.97","925.44","861.63","4.53B","5.59%"
"01/01/2025","869.70","856.22","878.71","828.71","4.17B","1.88%"
"12/01/2024","853.65","900.36","902.44","849.50","4.46B","-5.24%"
"11/01/2024","900.88","863.18","902.59","852.44","4.10B","4.55%"
"10/01/2024","861.70","888.18","891.93","860.73","4.10B","-2.94%"
"09/01/2024","887.78","881.94","903.36","878.73","4.07B","0.59%"
"08/01/2024","882.60","835.86","885.72","830.53","4.01B","5.78%"
"07/01/2024","834.36","823.20","847.77","812.52","3.95B","1.77%"
"06/01/2024","819.86","821.40","835.77","812.53","4.01B","-0.53%"
"05/01/2024","824.23","803.61","838.81","797.22","4.10B","2.32%"
"04/01/2024","805.51","814.18","816.28","778.25","4.04B","-1.07%"
"03/01/2024","814.23","786.65","816.47","783.83","4.19B","3.17%"
"02/01/2024","789.20","773.08","797.44","767.37","3.65B","2.12%"
"01/01/2024","772.80","760.66","780.53","757.72","3.85B","1.37%"
"12/01/2023","762.32","744.25","762.96","736.46","3.60B","2.43%"
"11/01/2023","744.26","718.46","746.30","713.14","3.56B","3.75%"
"10/01/2023","717.39","726.35","726.75","688.51","4.27B","-1.37%"
"09/01/2023","727.36","766.41","766.99","723.50","3.70B","-4.79%"
"08/01/2023","763.99","794.29","797.63","755.46","3.08B","-3.82%"
"07/01/2023","794.32","777.13","801.16","767.01","2.75B","1.99%"
"06/01/2023","778.82","756.05","782.24","752.70","3.25B","2.87%"
"05/01/2023","757.09","806.85","811.16","753.47","3.16B","-6.21%"
"04/01/2023","807.20","781.06","808.53","778.24","2.27B","3.44%"
"03/01/2023","780.38","749.12","780.43","738.23","3.15B","3.81%"
"02/01/2023","751.73","769.96","780.35","751.09","2.26B","-2.49%"
"01/01/2023","770.91","779.97","797.27","748.17","2.46B","-1.06%"
"12/01/2022","779.13","801.60","806.73","771.71","2.38B","-3.11%"
"11/01/2022","804.18","759.29","804.18","734.62","2.53B","6.20%"
"10/01/2022","757.25","699.59","763.53","689.39","2.79B","8.83%"
"09/01/2022","695.78","756.68","773.84","695.69","2.82B","-8.33%"
"08/01/2022","758.98","772.50","804.67","758.98","2.39B","-1.88%"
"07/01/2022","773.50","750.18","780.83","744.23","2.43B","3.13%"
"06/01/2022","750.05","773.75","773.99","705.68","3.01B","-2.87%"
