"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1,785.58","1,829.29","1,835.71","1,742.38","2.17B","-2.61%"
"11/01/2025","1,833.52","1,679.97","1,848.76","1,664.33","5.92B","9.14%"
"10/01/2025","1,680.03","1,630.27","1,709.87","1,630.27","6.10B","3.45%"
"09/01/2025","1,623.95","1,593.71","1,627.71","1,560.48","5.62B","1.62%"
"08/01/2025","1,598.13","1,521.26","1,617.28","1,490.00","5.17B","5.25%"
"07/01/2025","1,518.42","1,569.73","1,606.42","1,513.58","5.78B","-3.44%"
"06/01/2025","1,572.52","1,538.22","1,596.10","1,524.74","4.79B","1.88%"
"05/01/2025","1,543.45","1,619.03","1,619.10","1,482.51","6.13B","-5.72%"
"04/01/2025","1,637.04","1,696.30","1,696.30","1,511.60","6.18B","-3.83%"
"03/01/2025","1,702.26","1,735.27","1,749.10","1,668.53","5.59B","-1.85%"
"02/01/2025","1,734.28","1,704.61","1,735.66","1,674.26","4.73B","1.37%"
"01/01/2025","1,710.76","1,613.99","1,731.04","1,600.03","4.34B","6.61%"
"12/01/2024","1,604.75","1,713.92","1,716.74","1,579.18","4.63B","-6.36%"
"11/01/2024","1,713.71","1,715.61","1,758.02","1,632.74","4.76B","0.13%"
"10/01/2024","1,711.50","1,799.59","1,807.49","1,696.32","4.21B","-4.73%"
"09/01/2024","1,796.48","1,826.24","1,836.44","1,776.00","3.81B","-1.82%"
"08/01/2024","1,829.71","1,742.83","1,830.27","1,695.29","3.81B","4.99%"
"07/01/2024","1,742.67","1,702.55","1,765.27","1,665.62","4.38B","2.49%"
"06/01/2024","1,700.33","1,670.55","1,721.96","1,668.73","4.03B","1.76%"
"05/01/2024","1,670.88","1,626.91","1,709.79","1,625.48","4.59B","2.23%"
"04/01/2024","1,634.44","1,722.51","1,722.51","1,610.67","4.21B","-5.19%"
"03/01/2024","1,723.97","1,687.23","1,728.67","1,681.95","4.36B","2.23%"
"02/01/2024","1,686.41","1,637.91","1,725.67","1,630.02","4.23B","3.11%"
"01/01/2024","1,635.58","1,587.92","1,651.17","1,586.81","4.49B","2.84%"
"12/01/2023","1,590.36","1,524.61","1,594.66","1,523.83","4.41B","4.14%"
"11/01/2023","1,527.10","1,449.45","1,527.80","1,446.10","4.14B","5.23%"
"10/01/2023","1,451.16","1,501.22","1,536.90","1,428.19","4.51B","-3.33%"
"09/01/2023","1,501.22","1,549.31","1,561.62","1,494.54","3.58B","-3.10%"
"08/01/2023","1,549.31","1,561.85","1,589.97","1,538.41","4.78B","-0.80%"
"07/01/2023","1,561.85","1,548.62","1,594.44","1,503.61","3.54B","0.85%"
"06/01/2023","1,548.62","1,486.28","1,551.57","1,477.42","3.90B","4.19%"
"05/01/2023","1,486.28","1,555.39","1,571.05","1,466.49","4.04B","-4.44%"
"04/01/2023","1,555.39","1,510.73","1,582.54","1,507.61","3.23B","2.96%"
"03/01/2023","1,510.73","1,480.18","1,511.00","1,438.33","4.03B","2.06%"
"02/01/2023","1,480.18","1,553.43","1,570.40","1,478.55","3.43B","-4.72%"
"01/01/2023","1,553.43","1,585.54","1,593.22","1,531.55","3.73B","-2.03%"
"12/01/2022","1,585.54","1,618.68","1,646.35","1,560.72","3.49B","-2.05%"
"11/01/2022","1,618.68","1,546.64","1,618.69","1,498.98","3.97B","4.66%"
"10/01/2022","1,546.64","1,411.36","1,552.65","1,398.81","3.79B","9.59%"
"09/01/2022","1,411.36","1,451.16","1,535.32","1,408.17","3.59B","-2.74%"
"08/01/2022","1,451.16","1,541.88","1,565.76","1,451.15","3.39B","-5.88%"
"07/01/2022","1,541.88","1,494.31","1,558.41","1,459.55","3.07B","3.18%"
"06/01/2022","1,494.31","1,537.92","1,543.84","1,379.59","3.89B","-2.84%"
"05/01/2022","1,537.92","1,518.45","1,559.34","1,459.12","4.30B","1.28%"
"04/01/2022","1,518.45","1,594.81","1,672.39","1,515.99","3.83B","-4.79%"
"03/01/2022","1,594.81","1,512.63","1,619.59","1,483.77","4.75B","5.39%"
"02/01/2022","1,513.20","1,530.88","1,566.82","1,447.04","4.13B","-1.13%"
"01/01/2022","1,530.46","1,641.69","1,641.69","1,456.58","4.51B","-6.90%"
"12/01/2021","1,643.92","1,509.15","1,656.89","1,500.28","4.82B","8.84%"
"11/01/2021","1,510.45","1,559.58","1,577.07","1,507.63","4.58B","-3.13%"
"10/01/2021","1,559.32","1,481.17","1,560.92","1,452.11","3.63B","5.08%"
"09/01/2021","1,483.99","1,573.93","1,594.93","1,483.74","3.74B","-5.70%"
"08/01/2021","1,573.61","1,541.01","1,594.07","1,534.53","4.10B","2.28%"
"07/01/2021","1,538.58","1,469.24","1,544.82","1,469.24","3.37B","4.74%"
"06/01/2021","1,468.94","1,438.33","1,474.37","1,403.68","3.91B","2.19%"
"05/01/2021","1,437.44","1,414.36","1,462.53","1,414.36","3.53B","1.74%"
"04/01/2021","1,412.92","1,362.87","1,444.21","1,352.81","3.44B","3.87%"
"03/01/2021","1,360.34","1,315.30","1,375.81","1,279.42","4.33B","3.74%"
"02/01/2021","1,311.27","1,343.56","1,368.59","1,307.67","3.75B","-2.21%"
"01/01/2021","1,340.92","1,324.57","1,386.94","1,296.42","3.79B","1.28%"
"12/01/2020","1,324.01","1,283.54","1,325.21","1,276.94","4.34B","3.74%"
"11/01/2020","1,276.31","1,196.54","1,329.58","1,193.19","4.63B","7.77%"
"10/01/2020","1,184.32","1,235.33","1,276.94","1,168.75","3.52B","-3.79%"
"09/01/2020","1,231.02","1,258.94","1,276.28","1,175.51","3.56B","-2.29%"
"08/01/2020","1,259.88","1,234.02","1,265.10","1,224.28","3.10B","2.55%"
"07/01/2020","1,228.58","1,172.84","1,252.38","1,162.44","3.68B","5.20%"
"06/01/2020","1,167.80","1,189.26","1,211.56","1,109.00","4.66B","-2.53%"
"05/01/2020","1,198.14","1,152.53","1,199.83","1,128.83","4.10B","3.11%"
"04/01/2020","1,162.03","1,002.69","1,189.93","978.90","4.96B","12.50%"
